
Sales Person,Geography,Product,Date,Amount,Boxes,
Dennison Crosswaite,UK,Almond Choco,01/01/2021,"$2,037 ",422,
Kelci Walkden,India,Almond Choco,01/01/2021,"$6,160 ",126,
Gigi Bohling,Canada,Caramel Stuffed Bars,01/01/2021,"$1,442 ",200,
Madelene Upcott,India,Eclairs,01/01/2021,"$6,979 ",252,
Oby Sorrel,USA,Manuka Honey Choco,01/01/2021,$966 ,71,
Brien Boise,USA,After Nines,01/01/2021,"$7,924 ",124,
Jan Morforth,New Zealand,Spicy Special Slims,01/01/2021,"$2,996 ",88,
Marney O'Breen,USA,85% Dark Bars,01/01/2021,"$1,981 ",471,
Gigi Bohling,Canada,Eclairs,01/01/2021,"$1,456 ",10,
Andria Kimpton,USA,White Choc,01/01/2021,"$5,257 ",577,
Kelci Walkden,Australia,Smooth Sliky Salty,01/01/2021,"$4,767 ",189,
Barr Faughny,Canada,White Choc,01/01/2021,"$4,718 ",67,
Barr Faughny,UK,Orange Choco,01/01/2021,"$9,303 ",82,
Barr Faughny,USA,Mint Chip Choco,01/01/2021,$14 ,1,
Husein Augar,UK,Caramel Stuffed Bars,01/01/2021,"$7,518 ",9,
Barr Faughny,Canada,Eclairs,01/01/2021,"$7,651 ",288,
Ches Bonnell,USA,Eclairs,01/01/2021,"$2,359 ",125,
Jan Morforth,Canada,85% Dark Bars,01/01/2021,$70 ,396,
Marney O'Breen,USA,Smooth Sliky Salty,01/01/2021,$399 ,70,
Dotty Strutley,USA,Peanut Butter Cubes,01/01/2021,"$3,801 ",52,
Jan Morforth,Australia,After Nines,01/01/2021,"$5,201 ",97,
Gigi Bohling,USA,After Nines,01/01/2021,"$2,450 ",55,
Oby Sorrel,India,70% Dark Bites,01/01/2021,"$5,131 ",619,
Curtice Advani,USA,White Choc,01/01/2021,"$5,369 ",26,
Oby Sorrel,Australia,Drinking Coco,01/01/2021,$728 ,634,
Rafaelita Blaksland,UK,Manuka Honey Choco,01/01/2021,"$5,880 ",11,
Kaine Padly,UK,Spicy Special Slims,01/01/2021,"$1,148 ",285,
Dotty Strutley,India,After Nines,01/01/2021,"$2,058 ",321,
